Game,TotalWinPct,TotalWins,TotalLosses,Rank,DruidWin,DruidLoss,DruidWinPct,HunterWin,HunterLoss,HunterWinPct,MageWin,MageLoss,MageWinPct,PaladinWin,PaladinLoss,PaladinWinPct,PriestWin,PriestLoss,PriestWinPct,RogueWin,RogueLoss,RogueWinPct,ShamanWin,ShamanLoss,ShamanWinPct,WarlockWin,WarlockLoss,WarlockWinPct,WarriorWin,WarriorLoss,WarriorWinPct,DruidMetaPct,HunterMetaPct,MageMetaPct,PaladinMetaPct,PriestMetaPct,RogueMetaPct,ShamanMetaPct,WarlockMetaPct,WarriorMetaPct
109,0.541284404,59,50,11.3,,,0.75,,,1,,,0.538461539,,,0.2,,,0.6,,,0.5,,,0.464285714,,,0.6,1,,0.6,0.036697248,0.018348624,0.119266055,0.04587156,0.137614679,0.110091743,0.256880734,0.137614679,0.137614679
110,0.536363636,59,51,10.1,,,0.75,,,1,,,0.538461539,,,0.2,,,0.6,,,0.5,,1,0.448275862,,,0.6,,,0.6,0.036363636,0.018181818,0.118181818,0.045454545,0.136363636,0.109090909,0.263636364,0.136363636,0.136363636
111,0.531531532,59,52,10,,,0.75,,,1,,,0.538461539,,1,0.166666667,,,0.6,,,0.5,,,0.448275862,,,0.6,,,0.6,0.036036036,0.018018018,0.117117117,0.054054054,0.135135135,0.108108108,0.261261261,0.135135135,0.135135135
112,0.535714286,60,52,11.3,,,0.75,,,1,,,0.538461539,,,0.166666667,,,0.6,,,0.5,1,,0.466666667,,,0.6,,,0.6,0.035714286,0.017857143,0.116071429,0.053571429,0.133928571,0.107142857,0.267857143,0.133928571,0.133928571
113,0.539823009,61,52,11.4,,,0.75,,,1,,,0.538461539,,,0.166666667,,,0.6,1,,0.538461539,,,0.466666667,,,0.6,,,0.6,0.03539823,0.017699115,0.115044248,0.053097345,0.132743363,0.115044248,0.265486726,0.132743363,0.132743363
114,0.543859649,62,52,10.1,,,0.75,,,1,,,0.538461539,,,0.166666667,,,0.6,1,,0.571428571,,,0.466666667,,,0.6,,,0.6,0.035087719,0.01754386,0.114035088,0.052631579,0.131578947,0.122807018,0.263157895,0.131578947,0.131578947
115,0.547826087,63,52,10.3,,,0.75,,,1,,,0.538461539,,,0.166666667,1,,0.625,,,0.571428571,,,0.466666667,,,0.6,,,0.6,0.034782609,0.017391304,0.113043478,0.052173913,0.139130435,0.12173913,0.260869565,0.130434783,0.130434783
116,0.543103448,63,53,10.5,,,0.75,,,1,,,0.538461539,,,0.166666667,,,0.625,,,0.571428571,,1,0.451612903,,,0.6,,,0.6,0.034482759,0.017241379,0.112068966,0.051724138,0.137931035,0.120689655,0.267241379,0.129310345,0.129310345
117,0.547008547,64,53,10.4,1,,0.8,,,1,,,0.538461539,,,0.166666667,,,0.625,,,0.571428571,,,0.451612903,,,0.6,,,0.6,0.042735043,0.017094017,0.111111111,0.051282051,0.136752137,0.11965812,0.264957265,0.128205128,0.128205128
118,0.542372881,64,54,10.5,,,0.8,,,1,,1,0.5,,,0.166666667,,,0.625,,,0.571428571,,,0.451612903,,,0.6,,,0.6,0.042372881,0.016949153,0.118644068,0.050847458,0.13559322,0.118644068,0.262711864,0.127118644,0.127118644
119,0.546218487,65,54,10.4,,,0.8,,,1,,,0.5,,,0.166666667,,,0.625,,,0.571428571,1,,0.46875,,,0.6,,,0.6,0.042016807,0.016806723,0.117647059,0.050420168,0.134453782,0.117647059,0.268907563,0.12605042,0.12605042
120,0.541666667,65,55,10.5,,,0.8,,,1,,,0.5,,,0.166666667,,,0.625,,,0.571428571,,,0.46875,,,0.6,,1,0.5625,0.041666667,0.016666667,0.116666667,0.05,0.133333333,0.116666667,0.266666667,0.125,0.133333333
121,0.537190083,65,56,10.4,,,0.8,,,1,,,0.5,,,0.166666667,,,0.625,,,0.571428571,,,0.46875,,,0.6,,1,0.529411765,0.041322314,0.016528926,0.115702479,0.049586777,0.132231405,0.115702479,0.26446281,0.123966942,0.140495868
122,0.532786885,65,57,10.3,,,0.8,,,1,,,0.5,,,0.166666667,,,0.625,,1,0.533333333,,,0.46875,,,0.6,,,0.529411765,0.040983607,0.016393443,0.114754098,0.049180328,0.131147541,0.12295082,0.262295082,0.12295082,0.139344262
123,0.528455285,65,58,10.2,,,0.8,,,1,,,0.5,,,0.166666667,,,0.625,,,0.533333333,,,0.46875,,,0.6,,1,0.5,0.040650407,0.016260163,0.113821138,0.048780488,0.130081301,0.12195122,0.260162602,0.12195122,0.146341463
124,0.524193548,65,59,10.1,,,0.8,,,1,,,0.5,,,0.166666667,,,0.625,,,0.533333333,,,0.46875,,,0.6,,1,0.473684211,0.040322581,0.016129032,0.112903226,0.048387097,0.129032258,0.120967742,0.258064516,0.120967742,0.153225807
125,0.52,65,60,10,,,0.8,,,1,,,0.5,,,0.166666667,,,0.625,,,0.533333333,,1,0.454545455,,,0.6,,,0.473684211,0.04,0.016,0.112,0.048,0.128,0.12,0.264,0.12,0.152
126,0.523809524,66,60,11.3,,,0.8,,,1,,,0.5,,,0.166666667,,,0.625,,,0.533333333,,,0.454545455,1,,0.625,,,0.473684211,0.03968254,0.015873016,0.111111111,0.047619048,0.126984127,0.119047619,0.261904762,0.126984127,0.150793651
127,0.527559055,67,60,11.4,,,0.8,,,1,,,0.5,,,0.166666667,,,0.625,,,0.533333333,,,0.454545455,,,0.625,1,,0.5,0.039370079,0.015748032,0.110236221,0.047244094,0.125984252,0.118110236,0.25984252,0.125984252,0.157480315
128,0.53125,68,60,10.1,,,0.8,,,1,,,0.5,,,0.166666667,1,,0.647058824,,,0.533333333,,,0.454545455,,,0.625,,,0.5,0.0390625,0.015625,0.109375,0.046875,0.1328125,0.1171875,0.2578125,0.125,0.15625
129,0.527131783,68,61,10.3,,,0.8,,,1,,,0.5,,,0.166666667,,,0.647058824,,,0.533333333,,,0.454545455,,,0.625,,1,0.476190476,0.03875969,0.015503876,0.108527132,0.046511628,0.131782946,0.11627907,0.255813954,0.124031008,0.162790698
130,0.530769231,69,61,10.2,,,0.8,,,1,,,0.5,,,0.166666667,,,0.647058824,1,,0.5625,,,0.454545455,,,0.625,,,0.476190476,0.038461538,0.015384615,0.107692308,0.046153846,0.130769231,0.123076923,0.253846154,0.123076923,0.161538462
131,0.534351145,70,61,10.3,,,0.8,,,1,,,0.5,,,0.166666667,,,0.647058824,,,0.5625,,,0.454545455,,,0.625,1,,0.5,0.038167939,0.015267176,0.106870229,0.045801527,0.129770992,0.122137405,0.251908397,0.122137405,0.167938931
132,0.53030303,70,62,10.2,,,0.8,,,1,,,0.5,,,0.166666667,,,0.647058824,,,0.5625,,,0.454545455,,,0.625,,1,0.47826087,0.037878788,0.015151515,0.106060606,0.045454545,0.128787879,0.121212121,0.25,0.121212121,0.174242424
133,0.52631579,70,63,10.1,,,0.8,,,1,,,0.5,,,0.166666667,,,0.647058824,,,0.5625,,1,0.441176471,,,0.625,,,0.47826087,0.037593985,0.015037594,0.105263158,0.045112782,0.127819549,0.120300752,0.255639098,0.120300752,0.172932331
134,0.529850746,71,63,10,,,0.8,,,1,,,0.5,,,0.166666667,,,0.647058824,,,0.5625,,,0.441176471,1,,0.647058824,,,0.47826087,0.037313433,0.014925373,0.104477612,0.044776119,0.126865672,0.119402985,0.253731343,0.126865672,0.171641791
135,0.533333333,72,63,10.1,1,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.647058824,,,0.5625,,,0.441176471,,,0.647058824,,,0.47826087,0.044444444,0.014814815,0.103703704,0.044444444,0.125925926,0.118518519,0.251851852,0.125925926,0.17037037
136,0.536764706,73,63,10.2,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.647058824,,,0.5625,,,0.441176471,,,0.647058824,1,,0.5,0.044117647,0.014705882,0.102941177,0.044117647,0.125,0.117647059,0.25,0.125,0.176470588
137,0.532846715,73,64,10.4,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.647058824,,1,0.529411765,,,0.441176471,,,0.647058824,,,0.5,0.04379562,0.01459854,0.102189781,0.04379562,0.124087591,0.124087591,0.248175183,0.124087591,0.175182482
138,0.536231884,74,64,10.3,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.647058824,,,0.529411765,,,0.441176471,,,0.647058824,1,,0.52,0.043478261,0.014492754,0.101449275,0.043478261,0.123188406,0.123188406,0.246376812,0.123188406,0.18115942
139,0.539568345,75,64,10.4,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.647058824,,,0.529411765,,,0.441176471,1,,0.666666667,,,0.52,0.043165468,0.014388489,0.100719425,0.043165468,0.122302158,0.122302158,0.244604317,0.129496403,0.179856115
140,0.535714286,75,65,10.5,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.647058824,,,0.529411765,,,0.441176471,,1,0.631578947,,,0.52,0.042857143,0.014285714,0.1,0.042857143,0.121428571,0.121428571,0.242857143,0.135714286,0.178571429
141,0.531914894,75,66,10.4,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.647058824,,,0.529411765,,1,0.428571429,,,0.631578947,,,0.52,0.042553191,0.014184397,0.09929078,0.042553191,0.120567376,0.120567376,0.24822695,0.134751773,0.177304965
142,0.535211268,76,66,10.3,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.647058824,,,0.529411765,,,0.428571429,,,0.631578947,1,,0.538461539,0.042253521,0.014084507,0.098591549,0.042253521,0.11971831,0.11971831,0.246478873,0.133802817,0.183098592
